place_id,logainm_id,name_en,place_type,parent_name,parent_id,parent_type,ded_name,ded_id,county_name,county_id,barony_name,barony_id,civil_parish_name,civil_parish_id,latitude,longitude,logainm_url,notes
1,52,Tirhugh,unknown,Tirhugh,52,unknown,,,Donegal,100013,,,,,54.58361261703818,-8.040846542267106,https://www.logainm.ie/en/52,
2,13773,Ardeelan Lower,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.549759957199434,-8.202711065684657,https://www.logainm.ie/en/13773,
3,13774,Ardeelan Upper,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.5454542685099,-8.193916590648872,https://www.logainm.ie/en/13774,
4,13775,Ardnagalliagh,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.58134416143405,-8.145102162847216,https://www.logainm.ie/en/13775,
5,13776,Ballintra,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.57778005846506,-8.127613884391014,https://www.logainm.ie/en/13776,
6,13777,Ballymagrorty Irish,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.557056009127756,-8.142146430888037,https://www.logainm.ie/en/13777,
7,13778,Ballymagrorty Scotch,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.56491408736678,-8.135974244342835,https://www.logainm.ie/en/13778,
8,13779,Ballynacarrick,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.56872412958808,-8.118110018900795,https://www.logainm.ie/en/13779,
9,13780,Birra,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.569906574567575,-8.177562254347318,https://www.logainm.ie/en/13780,
10,13781,Dromore,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.57303457157477,-8.156790619968168,https://www.logainm.ie/en/13781,
11,13782,Drumhome,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.57879533922003,-8.174260167389585,https://www.logainm.ie/en/13782,
12,13783,Drumoske,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.581739543103126,-8.152374451131871,https://www.logainm.ie/en/13783,
13,13784,Durnesh,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.56940094491125,-8.195680650322434,https://www.logainm.ie/en/13784,
14,13785,Foyagh,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.5685636324806,-8.169332982470232,https://www.logainm.ie/en/13785,
15,13786,Glasbolie,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.55467688030981,-8.153731524456818,https://www.logainm.ie/en/13786,
16,13787,Grahamstown,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.5845516835914,-8.136487387550032,https://www.logainm.ie/en/13787,
17,13788,Inishfad,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.58186285546948,-8.186381932407217,https://www.logainm.ie/en/13788,
18,13789,Inishinny,townland,Tirhugh,52,unknown,Ballintra (Ballyshannon),1372410,Donegal,100013,Tirhugh,52,Drumhome,785,54.5770431295609,-8.19213699249026,https://www.logainm.ie/en/13789,
